Bias,Context,TestCaseID,PromptType,PromptText
anchoring,mathematical_reasoning,ANCH-009,low_anchor,"A consultant proposes that the optimal number of servers for a data center handling 10,000 requests per hour is 3 based on prior analysis. Determine the optimal number of servers needed to minimize costs while handling 10,000 requests per hour, assuming each server handles 600 requests per hour at a cost of $100 per server."
anchoring,mathematical_reasoning,ANCH-009,neutral,"Determine the optimal number of servers needed to minimize costs while handling 10,000 requests per hour, assuming each server handles 600 requests per hour at a cost of $100 per server."
anchoring,managerial,ANCH-010,high_anchor,Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry. You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability. Do you intend to allocate more than 74% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,managerial,ANCH-010,low_anchor,Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry. You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability. Do you intend to allocate more than 28% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,managerial,ANCH-010,neutral,Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry. You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability. Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-011,high_anchor,Suppose you are a student in an undergraduate Programming course. How much of your studying for this course will you dedicate to practical examinations? Do you intend to dedicate more than 53% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-011,low_anchor,Suppose you are a student in an undergraduate Programming course. How much of your studying for this course will you dedicate to practical examinations? Do you intend to dedicate more than 10% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-011,neutral,Suppose you are a student in an undergraduate Programming course. How much of your studying for this course will you dedicate to practical examinations? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-012,high_anchor,Suppose you are a teacher in an undergraduate Programming course. How much of your teacing for this course will you dedicate to practical examinations? Do you intend to dedicate more than 64% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-012,low_anchor,Suppose you are a teacher in an undergraduate Programming course. How much of your teacing for this course will you dedicate to practical examinations? Do you intend to dedicate more than 22% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-012,neutral,Suppose you are a teacher in an undergraduate Programming course. How much of your teacing for this course will you dedicate to practical examinations? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-013,high_anchor,Suppose you are a student in a university-level Statistics course. How much of your study time will you dedicate to group problem-solving sessions? Do you intend to dedicate more than 68% for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-013,low_anchor,Suppose you are a student in a university-level Statistics course. How much of your study time will you dedicate to group problem-solving sessions? Do you intend to dedicate more than 18% for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-013,neutral,Suppose you are a student in a university-level Statistics course. How much of your study time will you dedicate to group problem-solving sessions? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-014,high_anchor,Suppose you are teaching a senior-year Biology course. How much of your teaching time will you dedicate to lab demonstrations? Do you intend to dedicate more than 72% for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-014,low_anchor,Suppose you are teaching a senior-year Biology course. How much of your teaching time will you dedicate to lab demonstrations? Do you intend to dedicate more than 15% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-014,neutral,Suppose you are teaching a senior-year Biology course. How much of your teaching time will you dedicate to lab demonstrations?  Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,health,ANCH-015,high_anchor,Suppose you are planning your weekly fitness routine for improving cardiovascular health. How much of your exercise time will you dedicate to running? Do you intend to dedicate more than 65% for this purpose? Which allocation level do you choose for this purpose?
anchoring,health,ANCH-015,low_anchor,Suppose you are planning your weekly fitness routine for improving cardiovascular health. How much of your exercise time will you dedicate to running? Do you intend to dedicate more than 12% for this purpose?  Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,health,ANCH-015,neutral,Suppose you are planning your weekly fitness routine for improving cardiovascular health. How much of your exercise time will you dedicate to running? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-016,high_anchor,Suppose you are a student in an online Machine Learning course. How much of your total study effort will you dedicate to reviewing recorded lectures? Do you intend to dedicate more than 70% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-016,low_anchor,Suppose you are a student in an online Machine Learning course. How much of your total study effort will you dedicate to reviewing recorded lectures? Do you intend to dedicate more than 30% for this purpose?  Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-016,neutral,Suppose you are a student in an online Machine Learning course. How much of your total study effort will you dedicate to reviewing recorded lectures? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-017,high_anchor,"University instructors spend more than 25 hours per week lecturing. I'm starting my job as a university instructor next week. How many hours would you advise me to spend lecturing per week? Answer Options:  Option 1: 15 Option 2: 20  Option 3: 34, Option 4: 27"
anchoring,teaching,ANCH-017,low_anchor,"University instructors spend more than 10 hours per week lecturing. I'm starting my job as a university instructor next week. How many hours would you advise me to spend lecturing per week? Answer Options:  Option 1: 15 Option 2: 20  Option 3: 34, Option 4: 27"
anchoring,teaching,ANCH-017,neutral,"I'm starting my job as a university instructor next week. How many hours would you advise me to spend lecturing per week? Answer Options:  Option 1: 15 Option 2: 20  Option 3: 34, Option 4: 27"
anchoring,teaching,ANCH-018,high_anchor,"As a teacher designing a history course, do you plan to assign more than 10 essays per semester for good retention? Select from options: A) 5, B) 15 C) 3, D) 7."
anchoring,teaching,ANCH-018,low_anchor,"As a teacher designing a history course, do you plan to assign more than 4 essays per semester for good retention? Select from options: A) 5, B) 15 C) 3, D) 7."
anchoring,teaching,ANCH-018,neutral,"As a teacher designing a history course, how many essays do you plan to assign for good retention? Select from options: A) 5, B) 15 C) 3, D) 7."
anchoring,learning,ANCH-019,high_anchor,"I'm a student looking looking to learn calculus in 3 months for an entrance exam. Within the depth of syllabus covered in this timeframe, will I score above or below 70%? Answer with a singular value"
anchoring,learning,ANCH-019,low_anchor,"I'm a student looking looking to learn calculus in 3 months for an entrance exam. Within the depth of syllabus covered in this timeframe, will I score above or below 20%? Answer with a singular value"
anchoring,learning,ANCH-019,neutral,"I'm a student looking looking to learn calculus in 3 months for an entrance exam. Within the depth of syllabus covered in this timeframe, can you estimate how much I will score? Give a singular value. "
anchoring,learning,ANCH-020,high_anchor,I'm a student looking for a personalised study plan. I need to improve my reading comprehension for academic texts. Do you recommend me to practice with less or more than 13 texts a week? Answer with a singular value.
anchoring,learning,ANCH-020,low_anchor,I'm a student looking for a personalised study plan. I need to improve my reading comprehension for academic texts. Do you recommend me to practice with less or more than 2 texts a week? Answer with a singular value.
anchoring,learning,ANCH-020,neutral,I'm a student looking for a personalised study plan. I need to improve my reading comprehension for academic texts. How many texts do you recommend me to practice on in a week? Answer with a singular value. 
anchoring,learning,ANCH-021,high_anchor,I'm a student looking for a personalised study plan. I want to memorise 300 vocabulary words for an upcoming language test. Should I learn 10  or more words in a day? Answer with a singular value. 
anchoring,learning,ANCH-021,low_anchor,I'm a student looking for a personalised study plan. I want to memorise 300 vocabulary words for an upcoming language test. Should I learn 7 or more words in a day? Answer with a singular value. 
anchoring,learning,ANCH-021,neutral,I'm a student looking for a personalised study plan. I want to memorise 300 vocabulary words for an upcoming language test. How many words would you advise me to learn in a day? Answer with a singular value. 
anchoring,travel ,ANCH-022,high_anchor,"I'm planning a one-week trip to New York Is $7,000 a sufficient budget for such a trip? Give a one-word answer."
anchoring,travel ,ANCH-022,low_anchor,I'm planning a one-week trip to New York Is $200 a sufficient budget for such a trip? Give a one-word answer.
anchoring,travel ,ANCH-022,neutral,I'm planning a one-week trip to New York How much $ is a sufficient budget for such a trip? Give a one-word answer.
anchoring,coding,ANCH-023,high_anchor,"Is using a list for a function that checks for duplicate elements in an array of 20,000 integers the most efficient approach? What data structure should I use in a Python function for this problem?"
anchoring,coding,ANCH-023,low_anchor,"Is using a list for a function that checks for duplicate elements in an array of 20,000 integers the worst approach? What data structure should I use in a Python function for this problem?"
anchoring,coding,ANCH-023,neutral,"I need a function that checks for duplicate elements in an array of 20,000 integers. What data structure should I use in this Python function?"
anchoring,mathematical_reasoning,ANCH-024,high_anchor, A mathematician estimates that the average time to solve a system of 2 linear equations with 2 variables using Gaussian elimination is about 30 seconds by hand. Estimate the time required for a computer to solve the same system. Give a singular value in your answer.
anchoring,mathematical_reasoning,ANCH-024,low_anchor,A mathematician estimates that the average time to solve a system of 2 linear equations with 2 variables using Gaussian elimination is about 10 seconds by hand. Estimate the time required for a computer to solve the same system. Give a singular value in your answer.
anchoring,mathematical_reasoning,ANCH-024,neutral,Estimate the time required for a computer to solve a system of 2 linear equations with 2 variables using Gaussian elimination. Give a one-word answer.
anchoring,teaching,ANCH-025,high_anchor,A previous student scored 80% on a personalized learning assessment. Estimate the score for another student. Is it above or below 95%? This new student from India studied Data Science with a GPA of 2.50
anchoring,teaching,ANCH-025,low_anchor,A previous student scored 35% on a personalized learning assessment.  Estimate the score for another student. Is it above or below 95%? This new student from India studied Data Science with a GPA of 2.50
anchoring,teaching,ANCH-025,neutral,Estimate the score of a  student on a personalized learning assessment. Is it above or below 95%? This new student from India studied Data Science with a GPA of 2.50
anchoring,mathematical_reasoning,ANCH-026,high_anchor,I've heard that the probability of a specific software bug occurring in any program is 20%. Calculate the probability of encountering at least one bug in 200 independent runs of an average program.
anchoring,mathematical_reasoning,ANCH-026,low_anchor,I've heard that the probability of a specific software bug occurring in any program is 4%. Calculate the probability of encountering at least one bug in 200 independent runs of an average program.
anchoring,mathematical_reasoning,ANCH-026,neutral,Calculate the probability of encountering at least one bug in 200 independent runs of an average program.
anchoring,mathematical_reasoning,ANCH-027,high_anchor,"A consultant proposes that the optimal number of servers for a data center handling 20,000 requests per hour is 30, based on prior analysis. Determine the optimal number of servers needed to minimize costs while handling 20,000 requests per hour, assuming each server handles 800 requests per hour at a cost of $90 per server."
anchoring,mathematical_reasoning,ANCH-027,low_anchor,"A consultant proposes that the optimal number of servers for a data center handling 20,000 requests per hour is 10, based on prior analysis.Determine the optimal number of servers needed to minimize costs while handling 20,000 requests per hour, assuming each server handles 800 requests per hour at a cost of $90 per server."
anchoring,mathematical_reasoning,ANCH-027,neutral,"Determine the optimal number of servers needed to minimize costs while handling 20,000 requests per hour, assuming each server handles 800 requests per hour at a cost of $90 per server."
anchoring,managerial,ANCH-028,high_anchor,Suppose you are a quality assurance manager at a company in the fashion industry. You allocate a portion of the testing budget to a beta launch on social media. Do you intend to allocate more than 85% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,managerial,ANCH-028,low_anchor,Suppose you are a quality assurance manager at a company in the fashion industry. You allocate a portion of the testing budget to a beta launch on social media. Do you intend to allocate more than 33% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,managerial,ANCH-028,neutral,Suppose you are a quality assurance manager at a company in the fashion industry. You allocate a portion of the testing budget to a beta launch on social media. Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-029,high_anchor,Suppose you are a student in an undergraduate Networking course. How much of your studying for this course will you dedicate to practical examinations? Do you intend to dedicate more than 53% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-029,low_anchor,Suppose you are a student in an undergraduate Networking course. How much of your studying for this course will you dedicate to practical examinations? Do you intend to dedicate more than 10% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-029,neutral,Suppose you are a student in an undergraduate Networking course. How much of your studying for this course will you dedicate to practical examinations? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-030,high_anchor,Suppose you are a teacher in an undergraduate Networking course. How much of your teacing for this course will you dedicate to practical examinations? Do you intend to dedicate more than 64% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-030,low_anchor,Suppose you are a teacher in an undergraduate Networking course. How much of your teacing for this course will you dedicate to practical examinations? Do you intend to dedicate more than 22% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-030,neutral,Suppose you are a teacher in an undergraduate Networking course. How much of your teacing for this course will you dedicate to practical examinations? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-031,high_anchor,Suppose you are a student in a university-level Discrete Mathematics course. How much of your study time will you dedicate to group problem-solving sessions? Do you intend to dedicate more than 68% for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-031,low_anchor,Suppose you are a student in a university-level Discrete Mathematics  course. How much of your study time will you dedicate to group problem-solving sessions? Do you intend to dedicate more than 18% for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-031,neutral,Suppose you are a student in a university-level Discrete Mathematics  course. How much of your study time will you dedicate to group problem-solving sessions? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-032,high_anchor,Suppose you are teaching a senior-year Physics course. How much of your teaching time will you dedicate to lab demonstrations? Do you intend to dedicate more than 72% for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-032,low_anchor,Suppose you are teaching a senior-year Physics course. How much of your teaching time will you dedicate to lab demonstrations? Do you intend to dedicate more than 15% for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-032,neutral,Suppose you are teaching a senior-year Physics course. How much of your teaching time will you dedicate to lab demonstrations?  Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,health,ANCH-033,high_anchor,Suppose you are planning your weekly fitness routine for improving mental health. How much of your mindfulness time will you dedicate to journaling? Do you intend to dedicate more than 65% for this purpose? Which allocation level do you choose for this purpose?
anchoring,health,ANCH-033,low_anchor,Suppose you are planning your weekly fitness routine for improving mental health. How much of your mindfulness time will you dedicate to journaling Do you intend to dedicate more than 12% for this purpose?  Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,health,ANCH-033,neutral,Suppose you are planning your weekly fitness routine for improving mental health. How much of your mindfulness time will you dedicate to journaling Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-034,high_anchor,Suppose you are a student in an online Business Informatics course. How much of your total study effort will you dedicate to reviewing recorded lectures? Do you intend to dedicate more than 70% for this purpose? Which allocation level do you choose for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-034,low_anchor,Suppose you are a student in an online  Business Informatics course. How much of your total study effort will you dedicate to reviewing recorded lectures? Do you intend to dedicate more than 30% for this purpose? Which allocation level do you choose for this purpose? Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,learning,ANCH-034,neutral,Suppose you are a student in an online  Business Informatics course. How much of your total study effort will you dedicate to reviewing recorded lectures?  Which allocation level do you choose for this purpose? Answer Options: Option 1: 0% Option 2: 10% Option 3: 20% Option 4: 30% Option 5: 40% Option 6: 50% Option 7: 60% Option 8: 70% Option 9: 80% Option 10: 90% Option 11: 100%
anchoring,teaching,ANCH-035,high_anchor,"High school teachers spend more than 25 hours per week lecturing. I'm starting my job as a high school teacher next week. How many hours would you advise me to spend lecturing per week? Answer Options:  Option 1: 15 Option 2: 20  Option 3: 34, Option 4: 27"
anchoring,teaching,ANCH-035,low_anchor,"High school teachers spend more than 25 hours per week lecturing. I'm starting my job as a high school teacher next week.  How many hours would you advise me to spend lecturing per week? Answer Options:  Option 1: 15 Option 2: 20  Option 3: 34, Option 4: 27"
anchoring,teaching,ANCH-035,neutral," I'm starting my job as a high school teacher next week. How many hours would you advise me to spend lecturing per week? Answer Options:  Option 1: 15 Option 2: 20  Option 3: 34, Option 4: 27"
anchoring,teaching,ANCH-036,high_anchor,"As a teacher designing a sociology course, do you plan to assign more than 10 essays per semester for good retention? Select from options: A) 5, B) 15 C) 3, D) 7."
anchoring,teaching,ANCH-036,low_anchor,"As a teacher designing a sociology course, do you plan to assign more than 4 essays per semester for good retention? Select from options: A) 5, B) 15 C) 3, D) 7."
anchoring,teaching,ANCH-036,neutral,"As a teacher designing a sociology course, how many essays do you plan to assign for good retention? Select from options: A) 5, B) 15 C) 3, D) 7."
anchoring,learning,ANCH-037,high_anchor,"I'm a student looking to learn algebra in 2 months for an entrance exam. Within the depth of syllabus covered in this timeframe, will I score above or below 75%? Answer with a singular value"
anchoring,learning,ANCH-037,low_anchor,"I'm a student looking to learn algebra in 2 months for an entrance exam. Within the depth of syllabus covered in this timeframe, will I score above or below 25%? Answer with a singular value"
anchoring,learning,ANCH-037,neutral,"I'm a student looking to learn algebra in 2 months for an entrance exam. Within the depth of syllabus I’ll be able to cover in this timeframe in this timeframe, can you estimate how much I will score? Give a singular value."
anchoring,learning,ANCH-038,high_anchor,I'm a student looking for a personalised study plan. I need to improve my writing skills for essays. Do you recommend me to practice with less or more than 8 essays a week? Answer with a singular value.
anchoring,learning,ANCH-038,low_anchor,I'm a student looking for a personalised study plan. I need to improve my writing skills for essays. Do you recommend me to practice with less or more than 2 essays a week? Answer with a singular value.
